iter	RMSE
0	0.2833310253
1	0.2787580522
2	0.2744947147
3	0.2705702579
4	0.2669074132
5	0.2629985241
6	0.2596816277
7	0.2563381202
8	0.2533353006
9	0.2501319255
10	0.2476738339
11	0.2449889103
12	0.2424620658
13	0.2401019563
14	0.2379195808
15	0.2358285744
16	0.2339011903
17	0.2320552378
18	0.2302862423
19	0.2288261901
20	0.2270871485
21	0.2254161891
22	0.2238752736
23	0.2225135828
24	0.2213289175
25	0.2200749909
26	0.2188447017
27	0.2176801298
28	0.2164341699
29	0.2154310579
30	0.2143937551
31	0.2134072656
32	0.2124940134
33	0.2115258633
34	0.2107062709
35	0.2099213766
36	0.2090957096
37	0.2082635497
38	0.207476775
39	0.2066649531
40	0.2060421729
41	0.2053511544
42	0.2047313395
43	0.2041418012
44	0.2035340096
45	0.2030069578
46	0.2025460922
47	0.2020641305
48	0.2013269269
49	0.2007869108
50	0.2003548808
51	0.1998356197
52	0.1994287978
53	0.1989001915
54	0.1984724977
55	0.1980508842
56	0.1976633603
57	0.197222379
58	0.1968341514
59	0.1964718312
60	0.1961072061
61	0.1958074625
62	0.1954583334
63	0.1950220529
64	0.1946400516
65	0.1942314327
66	0.1937378019
67	0.193387278
68	0.1929980802
69	0.1925557259
70	0.1922657376
71	0.1918617474
72	0.1915664011
73	0.1913332745
74	0.1910229893
75	0.1908612598
76	0.1905946227
77	0.19041904
78	0.1900507506
79	0.1896716398
80	0.189446656
81	0.1892115131
82	0.1888375291
83	0.1885486859
84	0.1881870641
85	0.1879025955
86	0.1876292164
87	0.1874481397
88	0.187234129
89	0.1870923797
90	0.1867251268
91	0.1864225917
92	0.1859794247
93	0.1855442208
94	0.1853988505
95	0.1851045944
96	0.184628315
97	0.1844627766
98	0.184157691
99	0.18391594
100	0.1837823353
101	0.1835514058
102	0.1832295134
103	0.1830027901
104	0.1828770189
105	0.1823893263
106	0.182214122
107	0.1820776247
108	0.1818693903
109	0.1816074245
110	0.1814775794
111	0.1812919185
112	0.1810647322
113	0.1806516147
114	0.1803800172
115	0.1802145396
116	0.1798390115
117	0.1796732538
118	0.1794777966
119	0.179214234
120	0.1790026639
121	0.1787200353
122	0.1784604952
123	0.1783464858
124	0.1781689135
125	0.1779905467
126	0.1778709837
127	0.1776611876
128	0.1774487203
129	0.1772008438
130	0.176947478
131	0.1767207796
132	0.1765220169
133	0.1763665215
134	0.1761128971
135	0.1758857633
136	0.1757234645
137	0.175575609
138	0.1754556578
139	0.1751888883
140	0.174979531
141	0.1747820185
142	0.1745089552
143	0.1743547299
144	0.1741608196
145	0.1739815049
146	0.1737133181
147	0.1735048844
148	0.1732887834
149	0.1730715053
150	0.1728103302
151	0.1725796319
152	0.1724385328
153	0.1722143058
154	0.1720045123
155	0.1719387842
156	0.1717630957
157	0.1715848632
158	0.1713884207
159	0.1711560951
160	0.170948603
161	0.1706856904
162	0.1704728723
163	0.1703453533
164	0.1701897825
165	0.1700492572
166	0.169729492
167	0.1695937178
168	0.169420505
169	0.1691650923
170	0.1690779599
171	0.1688649795
172	0.1687900621
173	0.168705135
174	0.1685983824
175	0.1684759467
176	0.1681960458
177	0.1680472183
178	0.1678099741
179	0.167698225
180	0.1675680417
181	0.1673630131
182	0.1673053905
183	0.1671256258
184	0.1668692346
185	0.1666396698
186	0.1663824752
187	0.1661936651
188	0.165970194
189	0.165770491
190	0.165628035
191	0.1654864476
192	0.1652434871
193	0.1651575475
194	0.16501166
195	0.1649156373
196	0.1647617484
197	0.1646886262
198	0.1645950855
199	0.1644612611
200	0.1642850963
201	0.1642109703
202	0.1639278102
203	0.1636007891
204	0.1633489158
205	0.1631684003
206	0.1630843668
207	0.16305828
208	0.1627391639
209	0.1625371115
210	0.1623308063
211	0.1621427394
212	0.1620252008
213	0.16191435
214	0.1617646134
215	0.161638894
216	0.1612909089
217	0.1612433723
218	0.1611634955
219	0.1610876604
220	0.160874201
221	0.1607863561
222	0.1606310881
223	0.1603320303
224	0.1601537024
225	0.1599696608
226	0.1598301693
227	0.1597846638
228	0.1594868696
229	0.1593870585
230	0.1591983342
231	0.1591348912
232	0.1590235641
233	0.1587022005
234	0.1584822887
235	0.1583719436
236	0.1583383067
237	0.1581321432
238	0.1579104256
239	0.1577711864
240	0.1574669115
241	0.1573024323
242	0.1572242347
243	0.1570825314
244	0.1569698409
245	0.156890019
246	0.1568317483
247	0.1567279341
248	0.1566395175
249	0.1563556962
250	0.1561867707
251	0.1560548233
252	0.1559610538
253	0.1558636039
254	0.1557708381
255	0.1556876598
256	0.1554617971
257	0.1552816265
258	0.1550201756
259	0.1549492856
260	0.1547414462
261	0.1544985082
262	0.1543126222
263	0.1541137312
264	0.1540688685
265	0.1539952794
266	0.1538746038
267	0.1536150423
268	0.1536006999
269	0.1534629181
270	0.1532829802
271	0.1532485121
272	0.1530483904
273	0.1528951908
274	0.1527242684
275	0.1526685283
276	0.1524452012
277	0.1522180734
278	0.1521469767
279	0.151918213
280	0.151876954
281	0.1516987441
282	0.1515846217
283	0.1514782063
284	0.1512114443
285	0.1509057614
286	0.1507239709
287	0.1505671268
288	0.1504442077
289	0.1502267683
290	0.1499381687
291	0.1498005553
292	0.1496432895
293	0.149437953
294	0.1492237905
295	0.1490261817
296	0.1488502987
297	0.1486842861
298	0.148644384
299	0.1484626678
300	0.1482980075
301	0.1481701379
302	0.1480757143
303	0.1478426727
304	0.1476274586
305	0.1474758378
306	0.1473151472
307	0.1471503275
308	0.1469996506
309	0.146967704
310	0.1467461911
311	0.1465445071
312	0.1463976828
313	0.1461516362
314	0.146088572
315	0.1459369745
316	0.1458027821
317	0.1456398877
318	0.1454580036
319	0.1452984795
320	0.1452624164
321	0.1450920112
322	0.14493004
323	0.1446663696
324	0.1445125663
325	0.1443053423
326	0.1440963596
327	0.1439351277
328	0.1437639668
329	0.1435476491
330	0.1433095392
331	0.1432763359
332	0.1431581767
333	0.1431209412
334	0.1429322035
335	0.1426830103
336	0.1424669265
337	0.1423647924
338	0.1422023767
339	0.1420197114
340	0.1419189292
341	0.1418134847
342	0.1417034339
343	0.1415689489
344	0.1415367554
345	0.1414380565
346	0.141327742
347	0.1412820187
348	0.1412727382
349	0.1410010135
350	0.1408201088
351	0.1406262656
352	0.1404790647
353	0.1404699445
354	0.1403755575
355	0.1402626843
356	0.1402483434
357	0.1401294801
358	0.1400432397
359	0.1398502909
360	0.1396871361
361	0.1395882154
362	0.1395109055
363	0.1393573374
364	0.1391833689
365	0.1391536999
366	0.1389420627
367	0.1386997352
368	0.1386001749
369	0.1385312107
370	0.1384402892
371	0.138412548
372	0.1382647079
373	0.1381100017
374	0.1379762197
375	0.1377763433
376	0.1376607684
377	0.137562154
378	0.1373977138
379	0.137384284
380	0.1372563502
381	0.1370821019
382	0.1369923213
383	0.1368650268
384	0.1367866136
385	0.1365781541
386	0.1364208683
387	0.1364035986
388	0.1362805743
389	0.1360963074
390	0.1359259309
391	0.1357845363
392	0.1357749994
393	0.1356296808
394	0.1354249365
395	0.1354155731
396	0.1352679324
397	0.1352571541
398	0.1350893214
399	0.1349895511
400	0.1347829166
401	0.1346388606
402	0.1345317279
403	0.1344525261
404	0.1343200136
405	0.1341848617
406	0.1340543962
407	0.1339374916
408	0.1338967195
409	0.1337149202
410	0.1335317499
411	0.1335128786
412	0.1333025935
413	0.1331685845
414	0.133045484
415	0.1329171629
416	0.1326854391
417	0.1324961757
418	0.1323829745
419	0.1323471004
420	0.1322572142
421	0.1321277907
422	0.1320195754
423	0.1318885488
424	0.131791024
425	0.131692701
426	0.1316138519
427	0.1314089122
428	0.131320458
429	0.131218174
430	0.1311575595
431	0.1309761982
432	0.1309040279
433	0.1308508441
434	0.1308440045
435	0.1307994371
436	0.1306362312
437	0.1304541822
438	0.1302642533
439	0.1300917895
440	0.129973743
441	0.1297258388
