iter	Passed	Remaining
0	16	16065
1	23	11534
2	31	10354
3	37	9451
4	45	9142
5	53	8805
6	60	8649
7	67	8314
8	74	8149
9	80	7985
10	86	7778
11	93	7719
12	101	7674
13	109	7726
14	116	7667
15	124	7632
16	130	7555
17	137	7494
18	144	7452
19	150	7363
20	157	7332
21	163	7269
22	169	7214
23	175	7146
24	181	7096
25	188	7069
26	194	7026
27	201	7007
28	210	7044
29	221	7162
30	229	7164
31	236	7141
32	242	7102
33	248	7071
34	254	7018
35	260	6969
36	266	6931
37	272	6887
38	278	6852
39	284	6820
40	289	6781
41	296	6753
42	301	6715
43	307	6683
44	313	6661
45	319	6628
46	325	6606
47	331	6577
48	337	6552
49	343	6529
50	349	6497
51	355	6475
52	361	6450
53	366	6425
54	372	6397
55	379	6395
56	385	6381
57	392	6371
58	398	6352
59	404	6339
60	411	6332
61	417	6310
62	422	6290
63	428	6269
64	434	6243
65	439	6223
66	445	6207
67	457	6270
68	463	6250
69	469	6233
70	474	6211
71	480	6192
72	486	6174
73	491	6155
74	498	6145
75	504	6134
76	510	6120
77	517	6112
78	523	6103
79	529	6088
80	535	6071
81	540	6052
82	546	6034
83	552	6019
84	557	6004
85	563	5988
86	569	5973
87	574	5956
88	580	5943
89	586	5928
90	592	5913
91	597	5900
92	603	5889
93	609	5875
94	615	5860
95	620	5845
96	626	5831
97	632	5818
98	638	5807
99	644	5798
100	650	5787
101	655	5773
102	662	5766
103	667	5751
104	673	5738
105	678	5726
106	684	5712
107	694	5732
108	710	5811
109	716	5796
110	722	5785
111	727	5771
112	733	5760
113	739	5750
114	745	5736
115	751	5724
116	756	5712
117	762	5700
118	768	5688
119	774	5679
120	779	5665
121	785	5654
122	791	5644
123	797	5632
124	803	5621
125	808	5609
126	814	5599
127	820	5589
128	826	5577
129	831	5567
130	838	5559
131	843	5547
132	849	5535
133	854	5524
134	860	5513
135	866	5502
136	871	5492
137	877	5482
138	883	5471
139	889	5461
140	895	5452
141	900	5441
142	906	5434
143	912	5426
144	919	5421
145	924	5410
146	936	5435
147	942	5426
148	948	5417
149	954	5406
150	959	5397
151	965	5386
152	971	5377
153	977	5367
154	982	5356
155	988	5346
156	993	5336
157	999	5326
158	1005	5316
159	1010	5306
160	1016	5296
161	1021	5286
162	1027	5276
163	1032	5265
164	1038	5255
165	1044	5248
166	1050	5238
167	1055	5229
168	1062	5222
169	1068	5216
170	1074	5209
171	1080	5202
172	1086	5192
173	1092	5183
174	1097	5174
175	1103	5164
176	1108	5156
177	1114	5146
178	1119	5135
179	1125	5126
180	1131	5120
181	1137	5113
182	1143	5106
183	1149	5097
184	1154	5088
185	1160	5080
186	1166	5071
187	1173	5066
188	1184	5084
189	1190	5076
190	1196	5067
191	1202	5058
192	1207	5048
193	1213	5040
194	1219	5032
195	1224	5023
196	1230	5014
197	1235	5005
198	1241	4997
199	1247	4989
200	1252	4980
201	1258	4970
202	1264	4962
203	1269	4954
204	1275	4946
205	1280	4937
206	1286	4929
207	1292	4922
208	1299	4917
209	1305	4910
210	1311	4904
211	1317	4895
212	1322	4887
213	1328	4878
214	1333	4870
215	1339	4862
216	1346	4859
217	1352	4851
218	1357	4842
219	1365	4839
220	1370	4831
221	1376	4823
222	1382	4815
223	1387	4807
224	1393	4800
225	1399	4792
226	1405	4784
227	1410	4775
228	1425	4799
229	1433	4800
230	1439	4792
231	1445	4783
232	1451	4776
233	1456	4768
234	1462	4760
235	1467	4751
236	1473	4742
237	1478	4734
238	1483	4725
239	1489	4717
240	1495	4709
241	1500	4700
242	1506	4693
243	1512	4684
244	1517	4676
245	1523	4668
246	1528	4660
247	1534	4652
248	1540	4645
249	1545	4637
250	1551	4629
251	1557	4622
252	1562	4614
253	1568	4606
254	1573	4598
255	1579	4590
